journal;concept;topconcept
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Genetics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Genetics;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Genetics;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Genetics;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Genetics;Environmental Science
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Genetics;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Modeling and Simulation;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Modeling and Simulation;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Modeling and Simulation;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Modeling and Simulation;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Modeling and Simulation;Environmental Science
<http://data.gesis.org/softwarekg/PMC/journal/5708>;Modeling and Simulation;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/881>;Biochemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/881>;Biochemistry;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/881>;Biochemistry;Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/881>;Biochemistry;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/881>;Biochemistry;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/881>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/881>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/881>;Medicine (miscellaneous);Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/881>;Medicine (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/881>;Medicine (miscellaneous);Engineering
<http://data.gesis.org/softwarekg/PMC/journal/881>;Instrumentation;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/881>;Instrumentation;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/881>;Instrumentation;Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/881>;Instrumentation;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/881>;Instrumentation;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/881>;Analytical Chemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/881>;Analytical Chemistry;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/881>;Analytical Chemistry;Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/881>;Analytical Chemistry;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/881>;Analytical Chemistry;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/881>;Electrical and Electronic Engineering;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/881>;Electrical and Electronic Engineering;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/881>;Electrical and Electronic Engineering;Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/881>;Electrical and Electronic Engineering;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/881>;Electrical and Electronic Engineering;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/881>;Atomic and Molecular Physics, and Optics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/881>;Atomic and Molecular Physics, and Optics;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/881>;Atomic and Molecular Physics, and Optics;Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/881>;Atomic and Molecular Physics, and Optics;Chemistry
