journal;concept;topconcept
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Agricultural and Biological Sciences (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Agricultural and Biological Sciences (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Agricultural and Biological Sciences (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Medicine (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Medicine (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Neuroscience (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Neuroscience (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Neuroscience (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Neuroscience (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Immunology and Allergy;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Immunology and Allergy;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Immunology and Allergy;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Immunology and Allergy;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Pharmacology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Pharmacology;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Pharmacology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Pharmacology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Cancer Research;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Cancer Research;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Cancer Research;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Cancer Research;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Molecular Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Molecular Medicine;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Molecular Medicine;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Molecular Medicine;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Oncology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Oncology;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Oncology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Oncology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Immunology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Immunology;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Immunology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6087>;Immunology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/4934>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/4934>;Molecular Biology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/4934>;Genetics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/4934>;Genetics;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/4934>;Genetics (clinical);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/4934>;Genetics (clinical);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1295>;Advanced and Specialized Nursing;Nursing
<http://data.gesis.org/softwarekg/PMC/journal/1295>;Advanced and Specialized Nursing;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1295>;Endocrinology, Diabetes and Metabolism;Nursing
<http://data.gesis.org/softwarekg/PMC/journal/1295>;Endocrinology, Diabetes and Metabolism;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1295>;Internal Medicine;Nursing
<http://data.gesis.org/softwarekg/PMC/journal/1295>;Internal Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6240>;Ophthalmology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/4846>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/4846>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/4846>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/4846>;Chemistry (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/4846>;Chemistry (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/4846>;Chemistry (miscellaneous);Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/4846>;Physics and Astronomy (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/4846>;Physics and Astronomy (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/4846>;Physics and Astronomy (miscellaneous);Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/2894>;Chemistry (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/2894>;Chemistry (miscellaneous);Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/2894>;Chemistry (miscellaneous);Materials Science
<http://data.gesis.org/softwarekg/PMC/journal/2894>;Condensed Matter Physics;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/2894>;Condensed Matter Physics;Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/2894>;Condensed Matter Physics;Materials Science
<http://data.gesis.org/softwarekg/PMC/journal/2894>;Materials Science (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/2894>;Materials Science (miscellaneous);Physics and Astronomy
<http://data.gesis.org/softwarekg/PMC/journal/2894>;Materials Science (miscellaneous);Materials Science
<http://data.gesis.org/softwarekg/PMC/journal/2099>;Anesthesiology and Pain Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7667>;Medical Laboratory Technology;Health Professions
<http://data.gesis.org/softwarekg/PMC/journal/7667>;Medical Laboratory Technology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7667>;Pathology and Forensic Medicine;Health Professions
<http://data.gesis.org/softwarekg/PMC/journal/7667>;Pathology and Forensic Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7667>;Histology;Health Professions
<http://data.gesis.org/softwarekg/PMC/journal/7667>;Histology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6751>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1951>;Health Policy;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/2406>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2406>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/2406>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2406>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/2406>;Cell Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2406>;Cell Biology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/2406>;Molecular Medicine;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2406>;Molecular Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/8001>;Endocrinology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8001>;Endocrinology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/8001>;Endocrinology, Diabetes and Metabolism;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8001>;Endocrinology, Diabetes and Metabolism;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1764>;Neurology (clinical);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1764>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5895>;Animal Science and Zoology;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/5895>;Food Science;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/4953>;Ecology, Evolution, Behavior and Systematics;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/4953>;Ecology, Evolution, Behavior and Systematics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/4953>;Genetics;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/4953>;Genetics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Molecular Biology;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Biochemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Biochemistry;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Cellular and Molecular Neuroscience;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Cellular and Molecular Neuroscience;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Physiology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Physiology;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Endocrine and Autonomic Systems;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Endocrine and Autonomic Systems;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Endocrinology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8255>;Endocrinology;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/6312>;Developmental and Educational Psychology;Psychology
<http://data.gesis.org/softwarekg/PMC/journal/6312>;Developmental and Educational Psychology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6312>;Clinical Psychology;Psychology
<http://data.gesis.org/softwarekg/PMC/journal/6312>;Clinical Psychology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6312>;Psychiatry and Mental Health;Psychology
<http://data.gesis.org/softwarekg/PMC/journal/6312>;Psychiatry and Mental Health;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/8047>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1595>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7750>;Cardiology and Cardiovascular Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/775>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/775>;Molecular Biology;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/775>;Molecular Biology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/775>;Molecular Biology;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/775>;Molecular Biology;Chemical Engineering
<http://data.gesis.org/softwarekg/PMC/journal/775>;Computer Science Applications;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/775>;Computer Science Applications;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/775>;Computer Science Applications;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/775>;Computer Science Applications;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/775>;Computer Science Applications;Chemical Engineering
<http://data.gesis.org/softwarekg/PMC/journal/775>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/775>;Medicine (miscellaneous);Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/775>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/775>;Medicine (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/775>;Medicine (miscellaneous);Chemical Engineering
<http://data.gesis.org/softwarekg/PMC/journal/775>;Inorganic Chemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/775>;Inorganic Chemistry;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/775>;Inorganic Chemistry;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/775>;Inorganic Chemistry;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/775>;Inorganic Chemistry;Chemical Engineering
<http://data.gesis.org/softwarekg/PMC/journal/775>;Physical and Theoretical Chemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/775>;Physical and Theoretical Chemistry;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/775>;Physical and Theoretical Chemistry;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/775>;Physical and Theoretical Chemistry;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/775>;Physical and Theoretical Chemistry;Chemical Engineering
<http://data.gesis.org/softwarekg/PMC/journal/775>;Organic Chemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/775>;Organic Chemistry;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/775>;Organic Chemistry;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/775>;Organic Chemistry;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/775>;Organic Chemistry;Chemical Engineering
<http://data.gesis.org/softwarekg/PMC/journal/775>;Catalysis;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/775>;Catalysis;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/775>;Catalysis;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/775>;Catalysis;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/775>;Catalysis;Chemical Engineering
<http://data.gesis.org/softwarekg/PMC/journal/775>;Spectroscopy;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/775>;Spectroscopy;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/775>;Spectroscopy;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/775>;Spectroscopy;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/775>;Spectroscopy;Chemical Engineering
<http://data.gesis.org/softwarekg/PMC/journal/6642>;Electrical and Electronic Engineering;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/6642>;Control and Systems Engineering;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/6642>;Mechanical Engineering;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/5449>;Oncology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6883>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6883>;Cell Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/4250>;Animal Science and Zoology;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/4250>;Animal Science and Zoology;Veterinary
<http://data.gesis.org/softwarekg/PMC/journal/4250>;Food Animals;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/4250>;Food Animals;Veterinary
<http://data.gesis.org/softwarekg/PMC/journal/7341>;Food Science;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/7341>;Food Science;Nursing
<http://data.gesis.org/softwarekg/PMC/journal/7341>;Nutrition and Dietetics;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/7341>;Nutrition and Dietetics;Nursing
<http://data.gesis.org/softwarekg/PMC/journal/29>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/29>;Pharmacology (medical);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/460>;Neurology (clinical);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1210>;Pharmaceutical Science;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/5918>;Public Health, Environmental and Occupational Health;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5918>;Public Health, Environmental and Occupational Health;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/5918>;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5918>;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/5918>;Infectious Diseases;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5918>;Infectious Diseases;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/5407>;Ecology, Evolution, Behavior and Systematics;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/5407>;Ecology, Evolution, Behavior and Systematics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5407>;Genetics;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/5407>;Genetics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5407>;Cell Biology;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/5407>;Cell Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Molecular Biology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Genetics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Genetics;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Virology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Virology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Immunology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Immunology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Microbiology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Microbiology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Parasitology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/506>;Parasitology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/1640>;Computer Science Applications;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/1640>;Computer Science Applications;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/1640>;Computer Science Applications;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/1640>;Neuroscience (miscellaneous);Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/1640>;Neuroscience (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/1640>;Neuroscience (miscellaneous);Engineering
<http://data.gesis.org/softwarekg/PMC/journal/1640>;Biomedical Engineering;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/1640>;Biomedical Engineering;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/1640>;Biomedical Engineering;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Molecular Biology;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Molecular Biology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Ecology, Evolution, Behavior and Systematics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Ecology, Evolution, Behavior and Systematics;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Ecology, Evolution, Behavior and Systematics;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Genetics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Genetics;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Genetics;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Cancer Research;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Cancer Research;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Cancer Research;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Genetics (clinical);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Genetics (clinical);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/1600>;Genetics (clinical);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Medicine (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Medicine (miscellaneous);Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Immunology and Microbiology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Immunology and Microbiology (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Immunology and Microbiology (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Immunology and Microbiology (miscellaneous);Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/5886>;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/5072>;Microbiology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/5072>;Microbiology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5072>;Microbiology (medical);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/5072>;Microbiology (medical);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1304>;Plant Science;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/3622>;Genetics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3622>;Biotechnology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/4703>;Ecology, Evolution, Behavior and Systematics;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/4703>;Plant Science;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/1008>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1008>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1008>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/1008>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7854>;Biophysics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7483>;Radiology, Nuclear Medicine and Imaging;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Molecular Biology;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Molecular Biology;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Computer Science Applications;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Computer Science Applications;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Computer Science Applications;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Modeling and Simulation;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Modeling and Simulation;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Modeling and Simulation;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Applied Mathematics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Applied Mathematics;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Applied Mathematics;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Structural Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Structural Biology;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/6489>;Structural Biology;Mathematics
